fid_1,bezeichnun,gis_id,elem_nr,datum,bildpfad,pgr_m,pgr_a,zw_pgr_m,zw_pgr_a,aun,twgeb,twrio,twsub,gw,kreuz,spt,ris,efli,afli,obs,ausbr,onf,zw_spt,zw_aun,zw_ris,zw_efli,zw_afli,zw_obs,lqrl,lqrp,eksl,eksp,btef,btep,sff,zw_btef,zw_btep,zw_lqrl,zw_lqrp,zw_eksl,zw_eksp,vnk,nnk,lage,fs,vst,bst,od_fs,zk,material,bauw,ausb
109,Fahrbahn,Fl_20150413_109,45510017_45510034.02,2015/4/13,Los1\Bilddaten\28065\9.jpg,0,0,1,1,0,3.5,1.88,2.28,3.5,M,14.98939213,0,10,0,0,0,0,3.5,0,1,2.25,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
101,Fahrbahn,Fl_20150413_101,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28066\14.jpg,3.25,0.6836,1.41,1.34,0,3.7,1,1.67,3.7,Ku,16.97588423,0,0,0,0,0,0,3.7,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
99,Fahrbahn,Fl_20150413_99,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28066\2.jpg,4.36,1.617586207,1.59,2.32,0,3.7,1,1.68,3.7,Ku,17.03418335,0,0,0,0,0,0,3.7,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
103,Fahrbahn,Fl_20150413_103,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28066\26.jpg,3.25,1.729166667,1.41,2.47,0,3.79,1,1.7,3.79,Ku,17.94683243,0,0,0,0,0,0,3.79,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
104,Fahrbahn,Fl_20150413_104,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28066\32.jpg,2.97,1.171923077,1.37,1.73,0,3.73,1,1.68,3.73,Ku,17.34433771,0,0,0,0,0,0,3.73,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
105,Fahrbahn,Fl_20150413_105,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28066\37.jpg,5.09,2.311282051,1.77,3.25,0,3.69,1,1.67,3.69,Ku,16.92643933,0,0,0,0,0,0,3.69,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
106,Fahrbahn,Fl_20150413_106,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28066\42.jpg,0.38,0.38,1.05,1.19,0,3.74,2.22,2.6,3.74,Ku,17.40304198,5,0,0,0,0,0,3.74,0,2.07,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
100,Fahrbahn,Fl_20150413_100,45510034_45510018.02,2015/4/13,Los1\Bilddaten\28066\8.jpg,0,0,1,1,0,3.46,1,1.61,3.46,Lu,14.77466579,0,0,0,0,0,0,3.46,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
96,Fahrbahn,Fl_20150413_96,45510018_45510035.02,2015/4/13,Los1\Bilddaten\28067\1.jpg,9.01,2.374545455,2.75,3.33,0,3.81,2.85,3.09,3.81,Ku,18.08851936,10,0,0,0,0,0,3.81,0,2.79,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
98,Fahrbahn,Fl_20150413_98,45510018_45510035.02,2015/4/13,Los1\Bilddaten\28067\13.jpg,7.8,2.064736842,2.45,2.92,0,3.4,1,1.6,3.4,Lu,14.47115626,0,0,0,0,0,0,3.4,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,5,2,,
85,Fahrbahn,Fl_20150413_85,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28067\25.jpg,3.07,1.076571429,1.38,1.6,0,3.72,1,1.68,3.72,Ku,17.16664459,0,0,0,0,0,0,3.72,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
97,Fahrbahn,Fl_20150413_97,45510018_45510035.02,2015/4/13,Los1\Bilddaten\28067\7.jpg,7.3,1.023461538,2.33,1.53,0,3.9,1,1.73,3.9,Ku,19.01406998,0,0,0,0,0,0,3.9,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,6,2,,
91,Fahrbahn,Fl_20150413_91,45510035_45510008.02,2015/4/13,Los1\Bilddaten\28068\31.jpg,4.39,1.216545455,1.6,1.79,0,4.46,1,1.86,4.46,Ku,24.56218921,0,0,0,0,0,0,4.46,0,1,1,1,1,,,,,,,0,,,,,,,,,,,0,0,0,7,2,,
